time,x,y,theta
6.52,0.00216101,-0.013416112,0.016295037
6.53,0.002212326,-0.013424711,0.016293554
6.54,0.002158078,-0.013470267,0.016278576
6.55,0.002072705,-0.013518308,0.016276215
6.56,0.002149302,-0.01353079,0.016294869
6.57,0.00219134,-0.013463706,0.016297482
6.58,0.002071404,-0.013513857,0.01628921
6.59,0.002111448,-0.013543155,0.016283744
6.6,0.002219078,-0.013510318,0.016284777
6.61,0.002244453,-0.013433889,0.016278327
6.62,0.002023764,-0.013538236,0.016263068
6.63,0.002175738,-0.013590542,0.016268337
6.64,0.002265067,-0.013544146,0.016284509
6.65,0.002188973,-0.013463564,0.01627786
6.66,0.002037427,-0.013449497,0.016267724
6.67,0.002204068,-0.01347975,0.016262775
6.68,0.002193003,-0.013460248,0.016262607
6.69,0.002123738,-0.013468053,0.016265193
6.7,0.0021106,-0.013524349,0.016268747
6.71,0.002215201,-0.013552171,0.016272832
6.72,0.002120887,-0.013462831,0.016276685
6.73,0.002065626,-0.013494601,0.016285864
6.74,0.002177812,-0.013527543,0.016284119
6.75,0.002216226,-0.013531264,0.016280674
6.76,0.002185132,-0.013509667,0.016280248
6.77,0.002111154,-0.013507223,0.016287551
6.78,0.002146283,-0.013488416,0.016293468
6.79,0.002190218,-0.013421887,0.016298201
6.8,0.00218591,-0.013427943,0.0162975
6.81,0.00213962,-0.013500316,0.016298219
6.82,0.002158266,-0.013462808,0.016303438
6.83,0.002207973,-0.013436706,0.016292082
6.84,0.00216937,-0.013493557,0.016278818
6.85,0.002119779,-0.013550288,0.016276501
6.86,0.002128719,-0.013493029,0.016274368
