time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,,
8960,-0.19637906,-0.29820154,-4.30296614,0.11576893,-0.53052863,17445,2443,19635,8960
9010,-0.19868332,-0.2928915,-4.33328206,0.12467423,-0.60631843,17467,2449,19685,9010
9063,-0.20108264,-0.28686877,-4.36738748,0.16269302,-0.65587331,17495,2459,19738,9063
9113,-0.20383377,-0.27921345,-4.39959814,0.11131628,-0.64421334,17516,2463,19788,9113
9163,-0.20554645,-0.2739177,-4.42801932,0.12022158,-0.56842353,17537,2469,19838,9163
9213,-0.20719915,-0.26826343,-4.4564405,0.12267508,-0.58002401,17558,2475,19888,9213
9263,-0.20875199,-0.26232949,-4.48486167,0.12022158,-0.56842353,17579,2481,19938,9263
9313,-0.21008078,-0.25659045,-4.52275657,0.16356677,-0.77336535,17607,2489,19988,9313
9363,-0.21162238,-0.24855872,-4.55117775,0.12022158,-0.56842353,17628,2495,20038,9363
9413,-0.21258724,-0.24262559,-4.57959893,0.12022158,-0.56842353,17649,2501,20088,9413
9463,-0.21338311,-0.23666743,-4.6080201,0.12022158,-0.56842353,17670,2507,20138,9463
9513,-0.21400934,-0.23068906,-4.63644128,0.12022158,-0.56842353,17691,2513,20188,9513
9563,-0.21446543,-0.22469531,-4.67623093,0.16474809,-0.79579295,17720,2521,20238,9563
9613,-0.21475726,-0.21662793,-4.7046521,0.12267508,-0.58002401,17741,2527,20288,9613
9663,-0.21480472,-0.21049436,-4.73307328,0.11131628,-0.56842353,17761,2532,20338,9663
9718,-0.2146896,-0.20492973,-4.75581022,0.13357953,-0.45473883,17782,2541,20393,9718
9768,-0.21437649,-0.19772324,-4.79938936,0.14429888,-0.80702106,17811,2547,20443,9768
9818,-0.21374958,-0.19053558,-4.82591579,0.11576893,-0.53052863,17831,2553,20493,9818
9868,-0.21310696,-0.18489942,-4.85433697,0.12267508,-0.58002401,17852,2559,20543,9868
9918,-0.2122392,-0.17882736,-4.88465289,0.12467423,-0.60631843,17874,2565,20593,9918
9968,-0.21119203,-0.17280874,-4.91117932,0.11813156,-0.54135575,17894,2571,20643,9968
10018,-0.21002558,-0.16701848,-4.94907422,0.16029544,-0.75789804,17922,2579,20693,10018
10068,-0.20814627,-0.15922716,-4.9774954,0.12022158,-0.56842353,17943,2585,20743,10068
10118,-0.20641379,-0.15284597,-5.00781132,0.10524448,-0.55119858,17964,2590,20793,10118
10168,-0.20488173,-0.14781171,-5.04381148,0.16474809,-0.72000314,17992,2599,20843,10168
10218,-0.20220137,-0.14002258,-5.07223266,0.12022158,-0.56842353,18013,2605,20893,10218
10268,-0.2000847,-0.1343965,-5.10254858,0.12467423,-0.60631843,18035,2611,20943,10268
10318,-0.1977138,-0.12863127,-5.12907501,0.11576893,-0.53052863,18055,2617,20993,10318
10368,-0.19537103,-0.12333811,-5.15749619,0.12022158,-0.56842353,18076,2623,21043,10368
10437,-0.19278293,-0.11791272,-5.1916016,0.16920074,-0.68210824,18104,2633,21112,10437
10487,-0.18786797,-0.10845379,-5.23328599,0.1201509,-0.66165702,18132,2639,21162,10487
10537,-0.18493806,-0.10334723,-5.26170717,0.12267508,-0.58002401,18153,2645,21212,10537
10587,-0.18173559,-0.09811587,-5.29012834,0.12022158,-0.56842353,18174,2651,21262,10587
10637,-0.17851841,-0.0931811,-5.31854952,0.12267508,-0.58002401,18195,2657,21312,10637
10687,-0.1750938,-0.08824095,-5.34886544,0.11813156,-0.61869228,18216,2662,21362,10687
10737,-0.17158313,-0.0834909,-5.3848656,0.16474809,-0.72000314,18244,2671,21412,10737
10787,-0.16645185,-0.07704694,-5.41328678,0.12022158,-0.56842353,18265,2677,21462,10787
10837,-0.16257528,-0.07245289,-5.44170795,0.12022158,-0.56842353,18286,2683,21512,10837
10887,-0.15864983,-0.0680605,-5.47012913,0.12267508,-0.58002401,18307,2689,21562,10887
10937,-0.15451853,-0.06369411,-5.49855031,0.12267508,-0.58002401,18328,2695,21612,10937
10987,-0.150178,-0.0593602,-5.53644521,0.16029544,-0.75789804,18356,2703,21662,10987
11037,-0.1442959,-0.05391616,-5.56486638,0.12022158,-0.56842353,18377,2709,21712,11037
11087,-0.13977008,-0.04996015,-5.59328756,0.12022158,-0.56842353,18398,2715,21762,11087
11137,-0.13513367,-0.04613435,-5.6160245,0.12467423,-0.45473883,18418,2723,21812,11137
11187,-0.12984482,-0.04196862,-5.65960364,0.14429888,-0.80702106,18447,2729,21862,11187
11237,-0.12398778,-0.03775548,-5.68802482,0.12022158,-0.56842353,18468,2735,21912,11237
11287,-0.11901026,-0.03438542,-5.71455125,0.11576893,-0.53052863,18488,2741,21962,11287
11337,-0.1141327,-0.03126845,-5.74297242,0.12022158,-0.56842353,18509,2747,22012,11337
11387,-0.1090807,-0.02823867,-5.78276207,0.16811029,-0.81203362,18538,2755,22062,11387
11437,-0.10170587,-0.02420573,-5.81118325,0.12022158,-0.56842353,18559,2761,22112,11437
11487,-0.09635205,-0.02147267,-5.83770968,0.11576893,-0.53052863,18579,2767,22162,11487
11537,-0.09123299,-0.01902839,-5.86613086,0.12267508,-0.58002401,18600,2773,22212,11537
11587,-0.08562499,-0.01654379,-5.89455203,0.12022158,-0.56842353,18621,2779,22262,11587
11638,-0.08006217,-0.01426605,-5.93244693,0.16029544,-0.75789804,18649,2787,22313,11638
11688,-0.07268588,-0.01156732,-5.96086811,0.12267508,-0.58002401,18670,2793,22363,11688
11738,-0.06686799,-0.00962436,-5.98928929,0.12022158,-0.56842353,18691,2799,22413,11738
11788,-0.06111465,-0.00788305,-6.01960521,0.12467423,-0.60631843,18713,2805,22463,11788
11838,-0.05509623,-0.00625893,-6.0442369,0.12912688,-0.49263373,18734,2813,22513,11838
11888,-0.04882332,-0.00473083,-6.08402654,0.14693748,-0.79579295,18761,2819,22563,11888
11938,-0.04162167,-0.00327729,-6.11434247,0.12467423,-0.60631843,18783,2825,22613,11938
11988,-0.03547661,-0.00222977,-6.14276364,0.12022158,-0.56842353,18804,2831,22663,11988
12038,-0.02952469,-0.00138845,-6.17118482,0.12022158,-0.56842353,18825,2837,22713,12038
12088,-0.02367075,-0.00073005,-6.199606,0.12267508,-0.58002401,18846,2843,22763,12088
12138,-0.0175584,-0.000218,-6.2375009,0.16029544,-0.75789804,18874,2851,22813,12138
12188,-0.00955199,0.00014803,-6.26592207,0.12022158,-0.56842353,18895,2857,22863,12188
12238,-0.00354181,0.00025179,-6.29244851,0.11576893,-0.53052863,18915,2863,22913,12238
12288,0.00224639,0.00019817,-6.32276443,0.12467423,-0.60631843,18937,2869,22963,12288
12338,0.00847522,-0.00004849,-6.3511856,0.12022158,-0.56842353,18958,2875,23013,12338
12388,0.0144724,-0.00045693,-6.38908051,0.16029544,-0.75789804,18986,2883,23063,12388
12438,0.02244228,-0.00130407,-6.41750168,0.12022158,-0.56842353,19007,2889,23113,12438
12488,0.02828008,-0.00209293,-6.44592286,0.12267508,-0.58002401,19028,2895,23163,12488
12538,0.03433279,-0.00308672,-6.47055455,0.12912688,-0.49263373,19049,2903,23213,12538
12588,0.04067613,-0.00428938,-6.50276521,0.11131628,-0.64421334,19070,2907,23263,12588
12638,0.04610831,-0.00550172,-6.54066011,0.16029544,-0.75789804,19098,2915,23313,12638
12688,0.05385888,-0.0075426,-6.56908129,0.12022158,-0.56842353,19119,2921,23363,12688
12738,0.05962596,-0.00923782,-6.59939721,0.11576893,-0.60631843,19140,2926,23413,12738
12788,0.06501739,-0.01100185,-6.61455517,0.0636093,-0.30934614,19151,2929,23463,12788
12838,0.06802483,-0.01203658,-6.62023941,0.02226326,-0.11368471,19155,2930,23513,12838
12888,0.06907536,-0.01240471,-6.61834466,0.00445265,0.0378949,19155,2931,23563,12888
12938,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23613,12938
12988,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23663,12988
13038,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23713,13038
13088,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23763,13088
13139,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23814,13139
13189,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23864,13189
13239,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23914,13239
13289,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,23964,13289
13339,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24014,13339
13389,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24064,13389
13439,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24114,13439
13489,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24164,13489
13539,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24214,13539
13589,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24264,13589
13639,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24314,13639
13689,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24364,13689
13739,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24414,13739
13789,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24464,13789
13839,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24514,13839
13906,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24581,13906
13956,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24631,13956
14006,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24681,14006
14056,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24731,14056
14106,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24781,14106
14156,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24831,14156
14206,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24881,14206
14256,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24931,14256
14306,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,24981,14306
14356,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25031,14356
14406,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25081,14406
14456,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25131,14456
14506,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25181,14506
14556,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25231,14556
14609,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25284,14609
14659,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25334,14659
14709,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25384,14709
14759,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25434,14759
14809,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25484,14809
14859,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25534,14859
14909,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25584,14909
14959,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25634,14959
15009,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25684,15009
15059,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25734,15059
15109,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25784,15109
15159,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25834,15159
15209,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25884,15209
15259,0.06928561,-0.01247794,-6.61834466,0,0,19155,2931,25934,15259
