time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
9691,1.28398125,0.11964546,0.18000079,0.24489581,0.0378949,2875,2925
9741,1.2960282,0.12183765,0.18379028,0.17810604,0.0757898,2894,2946
9791,1.30478352,0.12346515,0.18379028,0.17810604,0,2914,2966
9841,1.31353884,0.12509266,0.18379028,0.16920074,0,2933,2985
9891,1.3218564,0.1266388,0.18568502,0.18255869,0.0378949,2953,3006
9941,1.33082742,0.12832399,0.18568502,0.24044315,0,2980,3033
9991,1.34240661,0.13049913,0.18757977,0.17719734,0.03866827,2999,3053
10041,1.35111106,0.13215134,0.18757977,0.16920074,0,3018,3072
10091,1.3594227,0.13372898,0.20273773,0.20482195,0.30315922,3037,3099
10141,1.36945404,0.13579104,0.18947451,0.14693748,-0.26526432,3057,3112
10191,1.37666943,0.13717477,0.193264,0.23153785,0.0757898,3082,3139
10241,1.38780357,0.1393538,0.193264,0.18174086,0,3102,3159
10291,1.39672143,0.14109908,0.19136926,0.18255869,-0.0378949,3123,3179
10341,1.40568273,0.14283525,0.19136926,0.17810604,0,3143,3199
10391,1.41425061,0.14449519,0.19136926,0.18174086,0,3163,3219
10441,1.42317177,0.14622357,0.19136926,0.24044315,0,3190,3246
10491,1.43497446,0.14851023,0.19136926,0.17810604,0,3210,3266
10541,1.44371719,0.15020405,0.193264,0.17365339,0.0378949,3229,3286
10591,1.45206779,0.15183831,0.19515875,0.17719734,0.03866827,3248,3306
10641,1.46075947,0.15355644,0.19515875,0.16920074,0,3267,3325
10692,1.46905891,0.15519703,0.19705349,0.2359905,0.0378949,3293,3352
10742,1.48039866,0.15746095,0.19515875,0.18628438,-0.03866827,3314,3372
10792,1.48953607,0.15926718,0.19705349,0.17365339,0.0378949,3333,3392
10842,1.49788042,0.16093308,0.20084298,0.18174086,0.07733654,3352,3413
10892,1.5067848,0.16274591,0.20273773,0.17365339,0.0378949,3371,3433
10942,1.51511954,0.16445921,0.20273773,0.23626311,0,3397,3459
10992,1.52669075,0.16683781,0.20463247,0.17365339,0.0378949,3416,3479
